time_ms,acc_x_g,acc_y_g,acc_z_g,pitch_deg,roll_deg,gyr_x_dps,gyr_y_dps,gyr_z_dps,label,source_file
5213457,0.881,0.078,-0.203,-78.52,159.18,-1.129,17.532,-93.132,seatedmarch,seatedMarch_session1.xlsx
5213657,0.653,0.235,-0.051,-71.18,102.22,-18.44,-8.171,10.376,seatedmarch,seatedMarch_session1.xlsx
5213838,1.236,0.053,-0.097,-85.98,151.26,27.275,-14.854,35.461,seatedmarch,seatedMarch_session1.xlsx
5214009,0.976,0.127,-0.275,-77.24,155.36,21.721,-2.502,-56.786,seatedmarch,seatedMarch_session1.xlsx
5214171,1.015,0.216,-0.271,-77.44,141.63,-5.058,-2.335,-39.36,seatedmarch,seatedMarch_session1.xlsx
5214330,0.776,0.337,-0.278,-63.42,129.35,-6.95,-7.347,-23.041,seatedmarch,seatedMarch_session1.xlsx
5214493,0.832,0.333,-0.248,-66.74,126.4,-22.148,-12.482,8.476,seatedmarch,seatedMarch_session1.xlsx
5214697,0.896,0.354,-0.143,-70.7,111.61,-25.475,18.318,8.011,seatedmarch,seatedMarch_session1.xlsx
5214876,0.963,0.393,-0.171,-71.33,113.02,-8.659,-6.889,-25.475,seatedmarch,seatedMarch_session1.xlsx
5215036,0.865,0.347,-0.148,-69.82,112.81,23.926,-8.072,-11.871,seatedmarch,seatedMarch_session1.xlsx
5215204,0.924,0.404,-0.22,-68.17,118.08,32.234,-6.615,-7.759,seatedmarch,seatedMarch_session1.xlsx
5215368,0.781,0.479,-0.342,-55.79,124.94,9.422,-14.42,-20.264,seatedmarch,seatedMarch_session1.xlsx
5215626,0.807,0.44,-0.306,-59.54,124.34,-15.152,-3.494,16.876,seatedmarch,seatedMarch_session1.xlsx
5215838,0.79,0.497,-0.138,-59.42,104.88,-17.86,18.135,2.045,seatedmarch,seatedMarch_session1.xlsx
5216065,0.904,0.404,-0.228,-67.18,118.91,6.203,5.447,-5.455,seatedmarch,seatedMarch_session1.xlsx
5216221,0.85,0.447,-0.218,-63.18,115.37,10.88,-7.805,-6.714,seatedmarch,seatedMarch_session1.xlsx
5216383,0.904,0.445,-0.251,-65.02,118.86,-7.004,-10.254,-16.19,seatedmarch,seatedMarch_session1.xlsx
5216548,0.742,0.492,-0.223,-56.08,113.6,2.586,-2.869,0.16,seatedmarch,seatedMarch_session1.xlsx
5216716,0.851,0.455,-0.345,-59.92,126.75,0.526,0.71,14.359,seatedmarch,seatedMarch_session1.xlsx
5216881,0.876,0.504,-0.261,-61.03,116.57,1.877,6.241,19.905,seatedmarch,seatedMarch_session1.xlsx
5217058,0.745,0.557,-0.176,-53.72,106.72,-21.584,10.002,-33.623,seatedmarch,seatedMarch_session1.xlsx
5217222,0.8,0.522,-0.15,-58.46,105.37,8.171,3.853,11.536,seatedmarch,seatedMarch_session1.xlsx
5217378,0.878,0.47,-0.198,-63.77,112.13,4.753,-0.282,-6.927,seatedmarch,seatedMarch_session1.xlsx
5217637,0.744,0.605,-0.232,-50.53,109.8,15.099,-8.698,-3.189,seatedmarch,seatedMarch_session1.xlsx
5217845,0.806,0.498,-0.322,-56.71,122.12,2.953,-5.463,13.252,seatedmarch,seatedMarch_session1.xlsx
5218072,0.822,0.51,-0.224,-58.91,112.91,-21.042,0.694,15.015,seatedmarch,seatedMarch_session1.xlsx
5218251,0.816,0.494,-0.12,-60.94,103.1,-8.415,11.2,-14.359,seatedmarch,seatedMarch_session1.xlsx
5218414,0.859,0.508,-0.147,-61.85,105.43,9.377,3.799,6.401,seatedmarch,seatedMarch_session1.xlsx
5218643,0.838,0.474,-0.208,-61.63,113.01,11.444,1.816,-4.265,seatedmarch,seatedMarch_session1.xlsx
5218842,0.849,0.594,-0.165,-57.06,104.63,3.349,-10.132,-26.466,seatedmarch,seatedMarch_session1.xlsx
5218999,0.643,0.543,-0.259,-47.86,114.55,4.921,9.056,-17.509,seatedmarch,seatedMarch_session1.xlsx
5219160,0.743,0.535,-0.311,-52.27,119.25,-14.946,-22.812,5.203,seatedmarch,seatedMarch_session1.xlsx
5219349,0.923,0.542,-0.239,-62.15,112.83,-23.193,-7.835,22.743,seatedmarch,seatedMarch_session1.xlsx
5219503,0.798,0.502,-0.136,-59.56,104.53,-11.368,0.725,4.12,seatedmarch,seatedMarch_session1.xlsx
5219697,0.833,0.476,-0.231,-60.89,115.12,10.918,8.591,2.457,seatedmarch,seatedMarch_session1.xlsx
5219863,0.822,0.501,-0.252,-58.84,115.85,12.177,-8.797,-0.008,seatedmarch,seatedMarch_session1.xlsx
5220033,0.801,0.541,-0.272,-55.67,115.69,2.762,-16.388,-8.789,seatedmarch,seatedMarch_session1.xlsx
5220275,0.774,0.524,-0.338,-53.69,122.05,-1.656,-4.501,1.312,seatedmarch,seatedMarch_session1.xlsx
5220447,0.82,0.514,-0.299,-57.2,119.38,-7.011,0.313,10.948,seatedmarch,seatedMarch_session1.xlsx
5220623,0.782,0.56,-0.234,-54.57,111.69,-7.79,-1.488,-0.725,seatedmarch,seatedMarch_session1.xlsx
5220841,0.833,0.429,-0.226,-63.14,117.19,3.143,5.287,2.525,seatedmarch,seatedMarch_session1.xlsx
5221042,0.829,0.481,-0.253,-60.0,117.04,16.319,6.096,-5.714,seatedmarch,seatedMarch_session1.xlsx
5221251,0.733,0.534,-0.336,-51.31,121.28,10.88,-7.477,-4.723,seatedmarch,seatedMarch_session1.xlsx
5221473,0.8,0.464,-0.324,-57.8,124.35,-13.237,-2.083,3.899,seatedmarch,seatedMarch_session1.xlsx
5221850,0.774,0.463,-0.196,-59.54,112.31,-0.237,6.691,10.17,seatedmarch,seatedMarch_session1.xlsx
5222444,0.688,0.527,-0.253,-51.12,114.73,6.523,-8.919,-22.621,seatedmarch,seatedMarch_session1.xlsx
5222727,0.747,0.558,-0.295,-51.83,116.89,-16.8,-1.709,8.713,seatedmarch,seatedMarch_session1.xlsx
